bedrooms,bathrooms,sqft,age,garage,location,price
3,2,1500,10,1,urban,350000
4,3,2200,5,2,suburban,485000
2,1,900,25,0,urban,275000
5,4,3200,2,2,suburban,675000
3,2,1800,15,1,urban,425000
4,2,2000,8,2,suburban,520000
2,2,1200,20,1,urban,320000
6,5,4000,1,3,suburban,850000
3,3,1600,12,1,urban,380000
4,3,2400,6,2,suburban,580000
1,1,600,30,0,urban,195000
5,3,2800,4,2,suburban,620000
3,2,1700,18,1,urban,410000
4,4,2600,3,2,suburban,640000
2,1,1000,22,0,urban,285000
7,6,4500,1,3,suburban,950000
3,2,1550,11,1,urban,365000
4,3,2100,7,2,suburban,505000
2,2,1100,24,1,urban,305000
5,4,3000,3,2,suburban,695000
3,3,1750,14,1,urban,435000
4,2,1950,9,2,suburban,495000
2,1,950,26,0,urban,265000
6,4,3500,2,3,suburban,775000
3,2,1650,13,1,urban,395000
4,3,2300,5,2,suburban,565000
1,1,700,28,0,urban,215000
5,3,2700,4,2,suburban,605000
3,2,1600,16,1,urban,385000
4,4,2500,4,2,suburban,615000
2,2,1150,21,1,urban,315000
6,5,3800,1,3,suburban,825000
3,3,1700,12,1,urban,415000
4,3,2000,8,2,suburban,515000
2,1,850,27,0,urban,245000
5,4,3100,3,2,suburban,715000
3,2,1500,17,1,urban,375000
4,2,2150,6,2,suburban,535000
2,2,1050,23,1,urban,295000
7,5,4200,1,3,suburban,895000
3,3,1800,10,1,urban,445000
4,3,2250,7,2,suburban,555000
1,1,650,29,0,urban,205000
5,3,2900,3,2,suburban,655000
3,2,1750,15,1,urban,425000
4,4,2700,4,2,suburban,665000
2,1,900,25,0,urban,275000
6,4,3600,2,3,suburban,795000
3,2,1550,14,1,urban,385000
4,3,2050,8,2,suburban,525000
2,2,1200,20,1,urban,325000
5,4,3300,2,2,suburban,745000
3,3,1650,13,1,urban,405000
4,2,1900,9,2,suburban,485000
2,1,800,28,0,urban,235000
6,5,3900,1,3,suburban,865000
3,2,1600,16,1,urban,395000
4,3,2200,6,2,suburban,545000
1,1,750,27,0,urban,225000
5,3,2750,4,2,suburban,625000
3,3,1700,11,1,urban,415000
4,4,2550,3,2,suburban,635000
2,2,1100,22,1,urban,305000
7,6,4300,1,3,suburban,915000
3,2,1500,18,1,urban,365000
4,3,2100,7,2,suburban,515000
2,1,950,24,0,urban,285000
5,4,3000,3,2,suburban,685000
3,2,1800,12,1,urban,435000
4,2,2000,8,2,suburban,505000
2,2,1250,19,1,urban,335000
6,4,3400,2,3,suburban,765000
3,3,1750,14,1,urban,425000
4,3,2300,5,2,suburban,575000
1,1,600,30,0,urban,195000
5,3,2800,4,2,suburban,645000
3,2,1650,15,1,urban,405000
4,4,2600,4,2,suburban,655000
2,1,900,26,0,urban,265000
6,5,3700,1,3,suburban,815000
3,3,1600,13,1,urban,395000
4,3,2150,6,2,suburban,535000
2,2,1050,23,1,urban,295000
5,4,3200,2,2,suburban,725000
3,2,1550,17,1,urban,375000
4,2,1950,9,2,suburban,495000
2,1,850,25,0,urban,255000
7,5,4100,1,3,suburban,885000
3,3,1700,12,1,urban,415000
4,3,2250,7,2,suburban,565000
1,1,700,28,0,urban,215000
5,3,2900,3,2,suburban,665000
3,2,1750,16,1,urban,425000
4,4,2500,4,2,suburban,625000
2,2,1150,21,1,urban,315000
6,4,3500,2,3,suburban,785000
3,3,1650,14,1,urban,405000
4,3,2000,8,2,suburban,515000
2,1,900,27,0,urban,275000
5,4,3100,3,2,suburban,705000
